learning_rate,0.001,training_epochs,1,batch_size,100,display_step,10,conv1_kernel_num,16
train_step,train_loss,validation_loss,train_step,train_accuracy,validation_accuracy
10,2.01666061083,2.04671164036,10,0.305555552244,0.272000001073
20,1.62325823307,1.65462662458,20,0.581000006199,0.570999997854
30,1.22250622511,1.2182025671,30,0.702000010014,0.724800001383
40,0.920426785946,0.890832315683,40,0.757999998331,0.775599998236
50,0.709090048075,0.691060254574,50,0.788000005484,0.805799996853
60,0.549687677622,0.559081655145,60,0.851000005007,0.847199995518
70,0.479156124592,0.495389112234,70,0.865000003576,0.853799997568
80,0.473990216851,0.448697906137,80,0.87499999404,0.877199999094
90,0.387433376908,0.409749078155,90,0.890999990702,0.884600003958
100,0.372919720411,0.368034517467,100,0.897000008821,0.899800001383
110,0.309045502543,0.346930240393,110,0.917000007629,0.905199998617
120,0.315917296708,0.331085315943,120,0.91099999547,0.910800001621
130,0.331590302289,0.328896689117,130,0.904000002146,0.907200001478
140,0.300959981978,0.307896439731,140,0.919999998808,0.914999998808
150,0.292622508109,0.299739130437,150,0.919999998808,0.918199999332
160,0.308947372437,0.277407407463,160,0.904999995232,0.922999998331
170,0.251549091935,0.268303184062,170,0.933000004292,0.929399996996
180,0.248762737215,0.264519856274,180,0.934000003338,0.92819999814
190,0.264649106562,0.256448248029,190,0.922000002861,0.931999998093
200,0.293744376302,0.248514288068,200,0.920000004768,0.934000000954
210,0.228342561424,0.241500792652,210,0.935000002384,0.936200002432
220,0.206605945528,0.237449746579,220,0.948999994993,0.93400000453
230,0.239357444644,0.244254003614,230,0.919000011683,0.932000001669
240,0.220500291884,0.233164667487,240,0.941999989748,0.934000002146
250,0.231465490162,0.215032597184,250,0.932999998331,0.941000003815
260,0.199709272385,0.213084854186,260,0.946999996901,0.942600002289
270,0.240419088304,0.225043830574,270,0.927000004053,0.935199999809
280,0.220180629194,0.203676204234,280,0.942000001669,0.944000005722
290,0.206675866246,0.199042966813,290,0.942000001669,0.945200004578
300,0.160876501352,0.206824492216,300,0.954000002146,0.941800004244
310,0.216649125516,0.203582016379,310,0.947000008821,0.943800001144
320,0.199820452929,0.192113455981,320,0.956000012159,0.945400000811
330,0.209647296369,0.188086572737,330,0.938000005484,0.94680000186
340,0.1499572061,0.179418008178,340,0.963000011444,0.951200003624
350,0.173581949621,0.178892738372,350,0.946000003815,0.949400004148
360,0.179567856342,0.181335789263,360,0.949000006914,0.947600001097
370,0.171901411563,0.169763783216,370,0.954000002146,0.952800002098
380,0.152648194134,0.171055322737,380,0.955999988317,0.95240000248
390,0.148636284471,0.168264638335,390,0.956000006199,0.954200004339
400,0.146638645977,0.164083177447,400,0.958999997377,0.953800002337
410,0.17331155166,0.160652018189,410,0.952999997139,0.958400001526
420,0.129216563702,0.162676347941,420,0.96400000453,0.955400002003
430,0.117875691503,0.161405515671,430,0.970000004768,0.956800005436
440,0.161957155913,0.15790156506,440,0.953999996185,0.955800005198
450,0.149326831102,0.157689620182,450,0.956999993324,0.954800002575
460,0.14378708005,0.153546103165,460,0.958000004292,0.958600007296
470,0.140173687786,0.151321489066,470,0.962000006437,0.959400007725
480,0.120895034075,0.146264115945,480,0.970000004768,0.960000003576
490,0.1521116063,0.146209992245,490,0.954000002146,0.961000003815
500,0.132972238213,0.146386642978,500,0.96099999547,0.959000003338
510,0.114953801036,0.140395560041,510,0.970000010729,0.963400007486
520,0.134510933608,0.148808966726,520,0.963000005484,0.958400002718
530,0.125322147459,0.140504030436,530,0.96400000453,0.961800004244
540,0.139269828796,0.137234878391,540,0.953999996185,0.962000006437
550,0.144843313098,0.136744952053,550,0.959000003338,0.962800002098
test step,loss,0.132637505871,accuracy,0.962000002265
