learning_rate,0.001,training_epochs,1,batch_size,100,display_step,10,conv1_kernel_num,16
train_step,train_loss,validation_loss,train_step,train_accuracy,validation_accuracy
10,1.53020075957,1.5837514472,10,0.626666665077,0.587000003457
20,0.969577872753,0.989017270803,20,0.73599999547,0.724600003958
30,0.624629044533,0.665607582331,30,0.794000005722,0.796799998283
40,0.477341374755,0.545432063937,40,0.852999997139,0.822599996328
50,0.434903934598,0.423579769731,50,0.870999991894,0.879599997997
60,0.419008791447,0.394905900657,60,0.87499999404,0.884599997997
70,0.340658721328,0.342669902444,70,0.912999999523,0.903800001144
80,0.32472691685,0.332090346813,80,0.903999996185,0.903799999952
90,0.277427665889,0.322143585384,90,0.906000006199,0.90379999876
100,0.260940743983,0.297834103703,100,0.933000004292,0.919600001574
110,0.275830087066,0.270061522424,110,0.917999988794,0.924800000191
120,0.265322731435,0.26526989907,120,0.920999997854,0.921800000668
130,0.212065660208,0.24612882182,130,0.92800001502,0.928599998951
140,0.254150408506,0.242431929111,140,0.926999998093,0.932800005674
150,0.243595612049,0.255827685595,150,0.922000002861,0.928200004101
160,0.197944006324,0.214957881868,160,0.946999996901,0.941399997473
170,0.220672625303,0.221173533052,170,0.931999993324,0.93840000391
180,0.207196766138,0.202741591632,180,0.937999999523,0.943000000715
190,0.188808827102,0.187397449315,190,0.951000005007,0.948000004292
200,0.157444860786,0.186570454836,200,0.954999989271,0.948000003099
210,0.153887248039,0.191210210919,210,0.951000010967,0.948800001144
220,0.162167046964,0.17957197085,220,0.954999995232,0.951600005627
230,0.166113173962,0.170583361834,230,0.954000002146,0.955000003576
240,0.140854234248,0.177076443285,240,0.961000013351,0.95
250,0.148371290416,0.171818023473,250,0.959000003338,0.954200004339
260,0.142731375992,0.160864744931,260,0.958000022173,0.952199997902
270,0.122828708217,0.153623406142,270,0.963000005484,0.955800002813
280,0.150805667788,0.160901900381,280,0.957000005245,0.954600003958
290,0.138630259782,0.159219223782,290,0.959000003338,0.952599998713
300,0.120761701465,0.146973079666,300,0.966000002623,0.958200001717
310,0.130113433301,0.146127311364,310,0.96700001359,0.960200002193
320,0.136273714155,0.150296079442,320,0.953999996185,0.955199999809
330,0.128005643934,0.127826128602,330,0.96400001049,0.966600011587
340,0.111331056803,0.129955299795,340,0.963000011444,0.964200006723
350,0.0963829934597,0.123932485059,350,0.975000017881,0.965200008154
360,0.0973565269262,0.126993192807,360,0.977000004053,0.965200003386
370,0.114202790707,0.124423758537,370,0.961000013351,0.963800008297
380,0.10880917348,0.134383262396,380,0.971000009775,0.963800007105
390,0.109035023674,0.115478323922,390,0.972000008821,0.967000008821
400,0.102069703862,0.116559068933,400,0.970000004768,0.969200011492
410,0.0763443414122,0.107934159674,410,0.982000011206,0.969000009298
420,0.0714768011123,0.113073661923,420,0.982000011206,0.967400007248
430,0.0907115716487,0.109770405442,430,0.979000008106,0.967000004053
440,0.0914287161082,0.108072091192,440,0.976000010967,0.966800003052
450,0.101784124598,0.105728079043,450,0.971000009775,0.971200009584
460,0.0739988986403,0.116564042792,460,0.982000011206,0.965600005388
470,0.100287635624,0.118647598699,470,0.972000014782,0.966400005817
480,0.0954705378041,0.107742404863,480,0.971000003815,0.966600006819
490,0.0830433968455,0.101219146475,490,0.97800000906,0.970200008154
500,0.0861537199467,0.0918885718659,500,0.980000007153,0.973200012445
510,0.0808470126241,0.0928873093426,510,0.972000008821,0.975000009537
520,0.093943977356,0.0908477697149,520,0.97800000906,0.974800008535
530,0.0858171135187,0.0964693110436,530,0.980000013113,0.972400009632
540,0.0747815623879,0.0963527873158,540,0.983000016212,0.971800009012
550,0.084399471432,0.0902603462711,550,0.981000012159,0.974400013685
test step,loss,0.0871696919086,accuracy,0.97340000689
